"bwyllie,dw_dxc_dev,smilebrands_claim_status_report__dbt_tmp"
"dbo,reports,rpt_AvgRTtrans"
"dbo,reports,rpt_GHI_Activity"
"dbo,reports,rpt_NewActivity"
"dbo,reports,rpt_PartnerBillingIntegrity"
"dbo,reports,supportFonalityCDRTmp"
"dbo,reports,temp_DSO_Claims"
"dbo,reports,temp_DSO_Claims_TransactionEvents"
"dbo,reports,temp_DSO_Cred"
"dbo,reports,temp_DSO_ERA"
"dbo,reports,temp_DSO_PatStmt"
"dbo,reports,temp_DSO_RTClaims"
"dbo,reports,temp_DSO_RTCount"
"dbo,reports,temp_DSO_Subscription_ClientSubscriptionEvents"
"dbo,reports,temptom"
"dbo,reports,tomtemp28"
"dbo,rpt,SSISDistributionClients"
"dbo,rpt,SSISDistributionClientsAudit"
"dbo,rpt,SSISDistributionClientsEmails"
"dbo,rpt,SSISDistributionClientsEmailsAudit"
"dbo,rpt,SSISDistributionClientsFTPDistributions"
"dbo,rpt,SSISDistributionClientsFTPDistributionsAudit"
"dbo,rpt,SSISGrandfatheredReportsMap"
"dbo,rpt,SSISReportClientTypes"
"dbo,rpt,SSISTemplateReportFeatureNames"
"dbo,rpt,SSISTemplateReports"
"dbo,sch,ProcedureSchedules"
"dbo,sch,ProcedureSchedulesAudit"
"dbo,schDev,ProcedureSchedules"
"dbo,trx,ClientSubscriptionEvents"
"dbo,trx,ClientTransactions"
"dbo,trx,TransactionDimensions"
"dbo,trx,TransactionEvents"
"dbo,trxBrch,ClientSubscriptionEvents"
"dbo,trxBrch,ClientTransactions"
"dbo,trxBrch,TransactionEvents"
"dbo,trxDev,ClientSubscriptionEvents"
"dbo,trxDev,ClientTransactions"
"dbo,trxDev,TransactionDimensions"
"dbo,trxDev,TransactionEvents"
"dbo,trxQA,ClientSubscriptionEvents"
"dbo,trxQA,ClientTransactions"
"dbo,trxQA,TransactionDimensions"
"dbo,trxQA,TransactionEventClientUsage"
"dbo,trxQA,TransactionEvents"
"dbo,trxTest,ClientSubscriptionEvents"
"dbo,trxTest,ClientTransactions"
"dbo,trxTest,TransactionEvents"
"dbo,trxWsdm,ClientSubscriptionEvents"
"dbo,trxWsdm,ClientTransactions"
"dbo,trxWsdm,TransactionDimensions"
"dbo,trxWsdm,TransactionEventClientUsage"
"dbo,trxWsdm,TransactionEvents"
"entity,master,Appointments"
"payerportal,master,ClearinghouseClaims"
